detuning (MHz),p33
-4.0,0.025321122929152506
-3.959798994974874,0.0279686288819036
-3.919597989949749,0.030195985106937717
-3.879396984924623,0.03160928561914411
-3.8391959798994977,0.03194663019504351
-3.7989949748743714,0.031126233541032444
-3.758793969849246,0.029263814748135886
-3.7185929648241203,0.026656241498917377
-3.678391959798995,0.02373383632375764
-3.638190954773869,0.020998840196749524
-3.5979899497487438,0.018921436329310704
-3.557788944723618,0.017882003176348582
-3.5175879396984926,0.018080021846392125
-3.477386934673367,0.019506632525565837
-3.437185929648241,0.021940803424591093
-3.396984924623115,0.024982539244687574
-3.35678391959799,0.028117581809141368
-3.316582914572864,0.030803448336801376
-3.2763819095477387,0.032563072854776665
-3.236180904522613,0.03306716114534425
-3.1959798994974875,0.032198067243910056
-3.1557788944723617,0.030071970229660072
-3.1155778894472363,0.027021844258470984
-3.07537688442211,0.02355639892756073
-3.035175879396985,0.020272309422878054
-2.994974874371859,0.01774675751024546
-2.9547738693467336,0.016425925234143768
-2.914572864321608,0.01658099633470983
-2.8743718592964824,0.018220333755045337
-2.8341708542713566,0.02109395479936166
-2.793969849246231,0.02473100770703529
-2.7537688442211055,0.028515144444736185
-2.7135678391959797,0.03178743960176589
-2.6733668341708547,0.03396013073889392
-2.6331658291457285,0.03462122576927473
-2.592964824120603,0.033611974387660615
-2.5527638190954773,0.031061100463556313
-2.512562814070352,0.027366043636928794
-2.472361809045226,0.023144913812404133
-2.4321608040201004,0.019129942887552986
-2.391959798994975,0.016032470280374134
-2.351758793969849,0.014424807408092488
-2.311557788944724,0.014630354620646657
-2.271356783919598,0.016671280409505662
-2.2311557788944723,0.020241560684540805
-2.190954773869347,0.02475443464326843
-2.150753768844221,0.02943944507437185
-2.1105527638190957,0.03346932483516141
-2.07035175879397,0.036106792815875755
-2.030150753768844,0.03683609220886308
-1.9899497487437185,0.03546368932211097
-1.949748743718593,0.032163542819312496
-1.9095477386934674,0.02745162820159075
-1.8693467336683416,0.022126194582500758
-1.829145728643216,0.017125847654617166
-1.7889447236180904,0.013357194129791639
-1.748743718592965,0.0115411683376897
-1.7085427135678395,0.012070250870087729
-1.668341708542714,0.014936007066946644
-1.6281407035175883,0.019705093963778342
-1.5879396984924623,0.025580183574179294
-1.5477386934673367,0.03153678034861407
-1.5075376884422111,0.03649312090638068
-1.4673366834170856,0.039508039966784314
-1.42713567839196,0.03995686218172129
-1.3869346733668344,0.03765780864065099
-1.3467336683417088,0.03292104723686301
-1.3065326633165832,0.02651878508926303
-1.2663316582914577,0.01956618769260815
-1.2261306532663316,0.013338662765898457
-1.185929648241206,0.009010019315652706
-1.1457286432160805,0.00746112353174555
-1.105527638190955,0.009098544307267198
-1.0653266331658293,0.013744077842482383
-1.0251256281407037,0.020644296314839883
-0.9849246231155782,0.028589863516019054
-0.9447236180904526,0.036123220183646165
-0.904522613065327,0.041801604819688754
-0.864321608040201,0.044471824778142044
-0.8241206030150754,0.043503239666491667
-0.7839195979899498,0.03893706929476737
-0.7437185929648242,0.031509158504560486
-0.7035175879396987,0.022531278934207866
-0.6633165829145731,0.013686646503435873
-0.6231155778894475,0.006701095990283734
-0.5829145728643219,0.00299825144999466
-0.5427135678391964,0.003408015054774338
-0.5025125628140703,0.007991722748251828
-0.4623115577889448,0.015985402199288123
-0.4221105527638192,0.025908793559458687
-0.3819095477386936,0.035857897102254954
-0.34170854271356804,0.043868526966663046
-0.3015075376884425,0.04830643744273466
-0.26130653266331694,0.04821233118434337
-0.22110552763819136,0.04351503365023052
-0.18090452261306578,0.0350709103494205
-0.1407035175879402,0.0245066057911556
-0.10050251256281416,0.01389115218395498
-0.06030150753768859,0.005358509315618709
-0.02010050251256302,0.000617258084365857
0.020100502512562554,0.0006172580843724629
0.06030150753768813,0.00535850931560472
0.1005025125628137,0.013891152183954647
0.14070351758793928,0.024506605791155323
0.18090452261306483,0.03507091034942006
0.2211055276381904,0.04351503365022641
0.26130653266331644,0.04821233118434476
0.3015075376884416,0.04830643744272495
0.3417085427135676,0.043868526966663934
0.3819095477386927,0.0358578971022549
0.42211055276381876,0.025908793559458965
0.4623115577889448,0.015985402199288123
0.5025125628140699,0.007991722748250607
0.5427135678391959,0.003408015054741642
0.582914572864321,0.0029982514500017654
0.623115577889447,0.006701095990350403
0.6633165829145722,0.013686646503381639
0.7035175879396982,0.022531278934128596
0.7437185929648233,0.03150915850456043
0.7839195979899494,0.03893706929476737
0.8241206030150754,0.043503239666491667
0.8643216080402005,0.04447182477814149
0.9045226130653266,0.041801604819688754
0.9447236180904517,0.03612322018363495
0.9849246231155777,0.028589863516019
1.0251256281407028,0.02064429631484016
1.0653266331658289,0.013744077842482494
1.105527638190954,0.009098544307349077
1.14572864321608,0.007461123531795288
1.185929648241206,0.009010019315652706
1.2261306532663312,0.013338662765898346
1.2663316582914572,0.019566187692635073
1.3065326633165824,0.026518785089262864
1.3467336683417084,0.032921047236854795
1.3869346733668335,0.037657808640651214
1.4271356783919595,0.039956862181721786
1.4673366834170845,0.0395080399667842
1.5075376884422107,0.03649312090638085
1.5477386934673367,0.03153678034861407
1.5879396984924616,0.02558018357417935
1.6281407035175879,0.01970509396377862
1.6683417085427128,0.014936007066946366
1.7085427135678388,0.012070250870087618
1.748743718592964,0.011541168337689478
1.78894472361809,0.013357194129820615
1.8291457286432151,0.017125847654617277
1.8693467336683411,0.022126194582501035
1.9095477386934672,0.027451628201581146
1.9497487437185923,0.03216354281929362
1.9899497487437183,0.03546368932215038
2.0301507537688437,0.036836092208858584
2.0703517587939695,0.03610679281587592
2.110552763819095,0.03346932483516407
2.1507537688442206,0.029439445074370074
2.190954773869346,0.024754434643271928
2.231155778894472,0.020241560684540305
2.271356783919598,0.016671280409505662
2.311557788944723,0.014630354620646602
2.351758793969849,0.014424807408092488
2.391959798994974,0.016032470280385402
2.4321608040201004,0.019129942887552986
2.4723618090452253,0.02314491381238637
2.512562814070351,0.027366043636928628
2.5527638190954764,0.031061100463553704
2.5929648241206023,0.033611974387645016
2.6331658291457285,0.03462122576927473
2.6733668341708534,0.033960130738896366
2.7135678391959797,0.03178743960176589
2.7537688442211046,0.02851514444473624
2.793969849246231,0.02473100770703529
2.8341708542713557,0.021093954799360604
2.874371859296482,0.018220333755032292
2.914572864321607,0.016580996334709996
2.954773869346733,0.016425925234150207
2.994974874371859,0.01774675751024546
3.0351758793969843,0.02027230942285385
3.07537688442211,0.02355639892756073
3.1155778894472355,0.027021844258475314
3.1557788944723613,0.030071970229672118
3.1959798994974866,0.03219806724389246
3.2361809045226124,0.0330671611453599
3.276381909547738,0.03256307285477733
3.3165829145728636,0.030803448336801376
3.35678391959799,0.028117581809141368
3.3969849246231147,0.02498253924468763
3.437185929648241,0.021940803424591093
3.477386934673366,0.0195066325255685
3.517587939698492,0.0180800218463974
3.557788944723617,0.017882003176348693
3.5979899497487433,0.01892143632931076
3.6381909547738682,0.020998840196748525
3.6783919597989945,0.023733836323757695
3.7185929648241194,0.026656241498917654
3.7587939698492456,0.029263814748127726
3.7989949748743714,0.031126233541032444
3.839195979899497,0.03194663019504346
3.8793969849246226,0.031609285619144
3.919597989949748,0.030195985106937495
3.9597989949748738,0.02796862888190349
4.0,0.025321122929152506
